,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
88,blend,84,116,9744,32,26,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:01:05,valid solution
89,blend,84,116,9744,32,26,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,netlib/,equivalent,43:11:36,valid solution
90,blend,84,116,9744,32,26,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:01:43,valid solution
91,blend,84,116,9744,32,26,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:45,valid solution
92,blend,84,116,9744,32,26,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:01:00,valid solution
93,blend,84,116,9744,32,26,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
94,blend,84,116,9744,32,26,0,0,0,permutation_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:07:43,valid solution
95,blend,84,116,9744,32,26,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:24,valid solution
96,blend,84,116,9744,32,26,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
97,blend,84,116,9744,32,26,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,2:13:51,valid-solution
98,sc105,104,151,15704,48,19,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:04:56,valid solution
99,sc105,104,151,15704,48,19,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
100,sc105,104,151,15704,48,19,0,0,0,theorem_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:08,
101,sc105,104,151,15704,48,19,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,0.0:1.0:25.596050024032593,valid solution
102,sc105,104,151,15704,48,19,0,0,0,quadratic_model,cp-sat,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:09,
103,sc105,104,151,15704,48,19,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
104,sc105,104,151,15704,48,19,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:28:51,valid solution
105,sc105,104,151,15704,48,19,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:02:28,valid solution
106,sc105,104,151,15704,48,19,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:05:14,valid solution
107,sc105,104,151,15704,48,19,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
108,sc105,104,151,15704,48,19,0,0,0,permutation_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:05,
109,sc105,104,151,15704,48,19,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:56,valid solution
110,sc105,104,151,15704,48,19,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
111,sc105,104,151,15704,48,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
112,stocfor1,112,165,18480,38,5,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:06:49,valid solution
113,stocfor1,112,165,18480,38,5,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
114,stocfor1,112,165,18480,38,5,0,0,0,theorem_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:07,
115,stocfor1,112,165,18480,38,5,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:02:26,valid solution
116,stocfor1,112,165,18480,38,5,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:02:11,valid solution
117,stocfor1,112,165,18480,38,5,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
118,stocfor1,112,165,18480,38,5,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:03:56,valid solution
119,stocfor1,112,165,18480,38,5,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:01:32,valid solution
120,stocfor1,112,165,18480,38,5,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:03:46,valid solution
121,stocfor1,112,165,18480,38,5,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
122,stocfor1,112,165,18480,38,5,0,0,0,permutation_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:03,
123,stocfor1,112,165,18480,38,5,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:01:25,valid solution
124,stocfor1,112,165,18480,38,5,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
125,stocfor1,112,165,18480,38,5,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
126,israel,143,164,23452,36,30,0,0,0,theorem_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
127,israel,143,164,23452,36,30,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
128,israel,143,164,23452,36,30,0,0,0,theorem_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:07,
129,israel,143,164,23452,36,30,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:03:23,valid solution
130,israel,143,164,23452,36,30,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:03:13,valid solution
