,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
1832,bandm,473,539,254947,168,99,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1833,sctap1,481,421,202501,137,89,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1834,scfxm1,458,469,214802,94,16,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1835,agg2,303,545,165135,180,97,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1836,agg3,303,545,165135,171,102,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1837,boeing1,474,446,211404,107,136,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1838,stair,468,566,264888,150,26,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1839,grow15,646,601,388246,168,121,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1840,tuff,588,622,365736,183,155,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1841,scsd6,1351,295,398545,16,420,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1842,scagr25,501,648,324648,154,145,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1843,degen2,535,666,356310,118,27,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1844,etamacro,689,673,463697,191,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1845,finnis,615,522,321030,167,147,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1846,standata,1076,516,555216,63,283,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1847,pilot4,1001,682,682682,208,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1848,grow22,947,881,834307,265,251,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1849,standgub,1185,520,616200,120,250,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1850,fffff800,855,829,708795,192,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1851,standmps,1076,732,787632,34,296,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1852,seba,1036,1030,1067080,227,82,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1853,scrs8,1170,863,1009710,169,154,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1854,ship04s,1459,573,836007,188,318,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1855,scfxm2,915,937,857355,282,165,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1856,wood1p,2595,487,1263765,107,555,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1857,gfrd-pnc,1093,1133,1238369,224,77,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1858,bnl1,1176,821,965496,261,325,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1859,ship04l,2119,749,1587131,115,641,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1860,perold,1377,1117,1538109,20,419,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1861,shell,1776,1071,1902096,342,485,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1862,fit1p,1678,1255,2105890,357,369,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1863,scsd8,2751,795,2187045,267,832,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1864,modszk1,1621,1373,2225633,335,223,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1865,maros,1444,1147,1656268,132,180,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1866,25fv47,1572,1276,2005872,328,502,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1867,scfxm3,1372,1405,1927660,308,248,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1868,ship08s,2388,885,2113380,266,489,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1869,pilot.ja,1989,1598,3178422,436,562,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1870,nesm,3012,1231,3707772,246,91,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1871,pilot.we,2790,1306,3643740,208,294,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1872,sctap2,1881,1561,2936241,361,269,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1873,pilotnov,2173,1673,3635429,259,720,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1874,ganges,1682,2250,3784500,482,383,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1875,sierra,2037,1756,3576972,273,484,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1876,degen3,1819,2221,4039999,639,407,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1877,ship12s,2764,1045,2888380,175,902,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1878,czprob,3524,1439,5071036,241,1013,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1879,ship08l,4284,1429,6121836,469,929,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1880,sctap3,2481,2101,5212581,610,620,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1881,stocfor2,2032,3285,6675120,1063,624,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1882,pilot,3653,1671,6104163,229,1208,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1883,cycle,2858,3119,8914102,1034,606,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1884,bnl2,3490,3512,12256880,749,1082,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1885,pilot87,4884,2256,11018304,175,1594,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,3
1886,afiro,33,34,1122,8,6,86,5,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1887,kb2,42,60,2520,12,5,109,14,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1888,sc50a,49,71,3479,12,9,267,4,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1889,sc50b,49,71,3479,18,4,126,12,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1890,adlittle,98,68,6664,20,27,27,6,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1891,blend,84,116,9744,36,23,456,17,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1892,share2b,80,107,8560,31,17,261,0,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1893,sc105,104,151,15704,4,19,794,19,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1894,stocfor1,112,165,18480,56,13,232,23,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1895,recipe,181,159,28779,21,52,1329,36,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1896,scagr7,141,180,25380,45,26,1024,25,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1897,israel,143,164,23452,48,43,1338,3,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1898,fit1d,1027,26,26702,6,111,803,1,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1899,share1b,226,197,44522,52,1,3464,36,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1900,boeing2,163,185,30155,9,25,1914,33,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1901,vtp.base,204,250,51000,54,59,496,3,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1902,sc205,204,295,60180,91,47,3705,9,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1903,grow7,302,281,84862,20,84,1553,37,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1904,beaconfd,263,264,69432,89,86,1448,11,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1905,lotfi,309,242,74778,59,73,2923,8,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1906,brandy,250,305,76250,89,54,4360,19,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1907,scsd1,761,155,117955,13,155,5955,27,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1908,e226,283,206,58298,61,63,1590,24,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1909,forplan,423,246,104058,60,135,115,23,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1910,bore3d,316,381,120396,117,63,332,2,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1911,agg,164,495,81180,27,32,7483,56,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1912,capri,354,404,143016,109,101,3572,95,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1913,scorpion,359,565,202835,172,104,1936,86,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1914,bandm,473,539,254947,53,147,8231,32,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1915,sctap1,481,421,202501,108,137,10661,65,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1916,scfxm1,458,469,214802,106,61,4866,24,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1917,agg2,303,545,165135,86,28,496,10,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1918,agg3,303,545,165135,122,58,3574,17,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1919,boeing1,474,446,211404,127,101,4905,111,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1920,stair,468,566,264888,38,48,7586,119,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1921,grow15,646,601,388246,155,77,6346,113,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1922,tuff,588,622,365736,24,190,13368,77,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1923,scsd6,1351,295,398545,97,429,29373,38,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1924,scagr25,501,648,324648,151,157,19995,5,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1925,degen2,535,666,356310,26,131,4207,162,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1926,etamacro,689,673,463697,210,138,31253,124,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1927,finnis,615,522,321030,172,63,2473,85,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1928,standata,1076,516,555216,173,283,33442,93,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1929,pilot4,1001,682,682682,102,316,46311,80,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1930,grow22,947,881,834307,233,307,371,91,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1931,standgub,1185,520,616200,162,301,13396,59,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1932,fffff800,855,829,708795,234,229,16055,29,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1933,standmps,1076,732,787632,97,260,3607,16,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1934,seba,1036,1030,1067080,39,273,43856,30,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1935,scrs8,1170,863,1009710,267,400,70304,41,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1936,ship04s,1459,573,836007,179,66,17763,132,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1937,scfxm2,915,937,857355,291,291,12396,7,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1938,wood1p,2595,487,1263765,154,667,307178,116,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1939,gfrd-pnc,1093,1133,1238369,302,333,5736,101,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1940,bnl1,1176,821,965496,284,197,10694,82,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1941,ship04l,2119,749,1587131,179,539,43428,165,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1942,perold,1377,1117,1538109,222,438,73950,11,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1943,shell,1776,1071,1902096,179,413,164705,170,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1944,fit1p,1678,1255,2105890,179,470,216222,132,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1945,scsd8,2751,795,2187045,188,749,191469,66,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1946,modszk1,1621,1373,2225633,453,123,80952,39,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1947,maros,1444,1147,1656268,220,174,9205,29,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1948,25fv47,1572,1276,2005872,429,494,28102,275,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1949,scfxm3,1372,1405,1927660,206,439,146405,86,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1950,ship08s,2388,885,2113380,247,625,16643,163,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1951,pilot.ja,1989,1598,3178422,64,191,90518,354,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1952,nesm,3012,1231,3707772,295,958,47210,22,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1953,pilot.we,2790,1306,3643740,399,556,108522,109,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1954,sctap2,1881,1561,2936241,408,169,121526,106,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1955,pilotnov,2173,1673,3635429,312,683,12815,200,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1956,ganges,1682,2250,3784500,422,518,181960,170,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1957,sierra,2037,1756,3576972,358,158,280128,202,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1958,degen3,1819,2221,4039999,553,183,175950,151,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1959,ship12s,2764,1045,2888380,36,690,58050,235,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1960,czprob,3524,1439,5071036,69,851,946945,0,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1961,ship08l,4284,1429,6121836,365,7,61488,256,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1962,sctap3,2481,2101,5212581,21,584,6264,247,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1963,stocfor2,2032,3285,6675120,1033,626,58479,746,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1964,pilot,3653,1671,6104163,543,610,8157,399,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1965,cycle,2858,3119,8914102,839,936,392004,446,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1966,bnl2,3490,3512,12256880,1100,382,130366,211,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1967,pilot87,4884,2256,11018304,703,1591,55769,133,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,3
1968,afiro,33,34,1122,11,5,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1969,kb2,42,60,2520,17,12,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1970,sc50a,49,71,3479,19,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1971,sc50b,49,71,3479,21,14,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1972,adlittle,98,68,6664,17,22,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1973,blend,84,116,9744,32,26,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1974,share2b,80,107,8560,24,8,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1975,sc105,104,151,15704,48,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1976,stocfor1,112,165,18480,38,5,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1977,recipe,181,159,28779,52,52,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1978,scagr7,141,180,25380,29,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1979,israel,143,164,23452,36,30,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1980,fit1d,1027,26,26702,5,119,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1981,share1b,226,197,44522,3,43,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1982,boeing2,163,185,30155,2,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1983,vtp.base,204,250,51000,76,69,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1984,sc205,204,295,60180,90,20,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1985,grow7,302,281,84862,50,55,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1986,beaconfd,263,264,69432,82,67,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1987,lotfi,309,242,74778,69,42,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1988,brandy,250,305,76250,98,73,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1989,scsd1,761,155,117955,21,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1990,e226,283,206,58298,54,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1991,forplan,423,246,104058,72,95,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1992,bore3d,316,381,120396,133,100,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1993,agg,164,495,81180,60,32,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1994,capri,354,404,143016,113,1,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1995,scorpion,359,565,202835,127,116,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1996,bandm,473,539,254947,168,99,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1997,sctap1,481,421,202501,137,89,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1998,scfxm1,458,469,214802,94,16,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
1999,agg2,303,545,165135,180,97,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2000,agg3,303,545,165135,171,102,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2001,boeing1,474,446,211404,107,136,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2002,stair,468,566,264888,150,26,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2003,grow15,646,601,388246,168,121,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2004,tuff,588,622,365736,183,155,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2005,scsd6,1351,295,398545,16,420,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2006,scagr25,501,648,324648,154,145,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2007,degen2,535,666,356310,118,27,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2008,etamacro,689,673,463697,191,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2009,finnis,615,522,321030,167,147,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2010,standata,1076,516,555216,63,283,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2011,pilot4,1001,682,682682,208,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2012,grow22,947,881,834307,265,251,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2013,standgub,1185,520,616200,120,250,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2014,fffff800,855,829,708795,192,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2015,standmps,1076,732,787632,34,296,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2016,seba,1036,1030,1067080,227,82,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2017,scrs8,1170,863,1009710,169,154,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2018,ship04s,1459,573,836007,188,318,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2019,scfxm2,915,937,857355,282,165,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2020,wood1p,2595,487,1263765,107,555,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2021,gfrd-pnc,1093,1133,1238369,224,77,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2022,bnl1,1176,821,965496,261,325,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2023,ship04l,2119,749,1587131,115,641,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2024,perold,1377,1117,1538109,20,419,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
2025,shell,1776,1071,1902096,342,485,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,4
