,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
89,sc105,104,151,15704,4,19,794,19,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
90,stocfor1,112,165,18480,56,13,232,23,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
91,recipe,181,159,28779,21,52,1329,36,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:2,no-solution-to-validate,7,1
92,scagr7,141,180,25380,45,26,1024,25,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:1,no-solution-to-validate,7,1
93,israel,143,164,23452,48,43,1338,3,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:2,no-solution-to-validate,7,1
94,fit1d,1027,26,26702,6,111,803,1,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:49,no-solution-to-validate,7,1
95,share1b,226,197,44522,52,1,3464,36,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:4,no-solution-to-validate,7,1
96,boeing2,163,185,30155,9,25,1914,33,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:2,no-solution-to-validate,7,1
97,vtp.base,204,250,51000,54,59,496,3,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
98,sc205,204,295,60180,91,47,3705,9,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
99,grow7,302,281,84862,20,84,1553,37,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:15,no-solution-to-validate,7,1
100,beaconfd,263,264,69432,89,86,1448,11,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:19,no-solution-to-validate,7,1
101,lotfi,309,242,74778,59,73,2923,8,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:8,no-solution-to-validate,7,1
102,brandy,250,305,76250,89,54,4360,19,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:13,no-solution-to-validate,7,1
103,scsd1,761,155,117955,13,155,5955,27,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:12,no-solution-to-validate,7,1
104,e226,283,206,58298,61,63,1590,24,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:8,no-solution-to-validate,7,1
105,forplan,423,246,104058,60,135,115,23,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:34,no-solution-to-validate,7,1
106,bore3d,316,381,120396,117,63,332,2,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:16,no-solution-to-validate,7,1
107,agg,164,495,81180,27,32,7483,56,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:12,no-solution-to-validate,7,1
108,capri,354,404,143016,109,101,3572,95,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:22,no-solution-to-validate,7,1
109,scorpion,359,565,202835,172,104,1936,86,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:35,no-solution-to-validate,7,1
110,bandm,473,539,254947,53,147,8231,32,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:9,no-solution-to-validate,7,1
111,sctap1,481,421,202501,108,137,10661,65,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:30,no-solution-to-validate,7,1
112,scfxm1,458,469,214802,106,61,4866,24,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:41,no-solution-to-validate,7,1
113,agg2,303,545,165135,86,28,496,10,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:41,no-solution-to-validate,7,1
114,agg3,303,545,165135,122,58,3574,17,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:43,no-solution-to-validate,7,1
115,boeing1,474,446,211404,127,101,4905,111,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:49,no-solution-to-validate,7,1
116,stair,468,566,264888,38,48,7586,119,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:7,no-solution-to-validate,7,1
117,grow15,646,601,388246,155,77,6346,113,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:2:46,no-solution-to-validate,7,1
118,tuff,588,622,365736,24,190,13368,77,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:56,no-solution-to-validate,7,1
