,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
426,Mat_knapsack32,55,50,2750,15,15,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:52,valid solution
427,Mat_knapsack32,55,50,2750,15,15,0,0,0,quadratic_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:11,valid solution
428,Mat_knapsack32,55,50,2750,15,15,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
429,Mat_knapsack32,55,50,2750,15,15,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
430,Mat_knapsack32,55,50,2750,15,15,0,0,0,permutation_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:38,valid solution
431,Mat_knapsack32,55,50,2750,15,15,0,0,0,permutation_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:03,valid solution
432,Mat_knapsack32,55,50,2750,15,15,0,0,0,algo,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
433,Mat_knapsack32,55,50,2750,15,15,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
434,Mat_knapsack33,56,52,2912,7,12,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:17,valid solution
435,Mat_knapsack33,56,52,2912,7,12,0,0,0,theorem_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,01:28:11,valid solution
436,Mat_knapsack33,56,52,2912,7,12,0,0,0,theorem_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:26,valid solution
437,Mat_knapsack33,56,52,2912,7,12,0,0,0,theorem_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:12,valid solution
438,Mat_knapsack33,56,52,2912,7,12,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:13,valid solution
439,Mat_knapsack33,56,52,2912,7,12,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:19:51,valid solution
440,Mat_knapsack33,56,52,2912,7,12,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:56,valid solution
441,Mat_knapsack33,56,52,2912,7,12,0,0,0,quadratic_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:22,valid solution
442,Mat_knapsack33,56,52,2912,7,12,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
443,Mat_knapsack33,56,52,2912,7,12,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
444,Mat_knapsack33,56,52,2912,7,12,0,0,0,permutation_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:43,valid solution
445,Mat_knapsack33,56,52,2912,7,12,0,0,0,permutation_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:04,valid solution
446,Mat_knapsack33,56,52,2912,7,12,0,0,0,algo,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
447,Mat_knapsack33,56,52,2912,7,12,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
448,Mat_knapsack34,56,53,2968,7,5,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:17,valid solution
449,Mat_knapsack34,56,53,2968,7,5,0,0,0,theorem_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,01:19:40,valid solution
450,Mat_knapsack34,56,53,2968,7,5,0,0,0,theorem_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:30,valid solution
451,Mat_knapsack34,56,53,2968,7,5,0,0,0,theorem_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:06,valid solution
452,Mat_knapsack34,56,53,2968,7,5,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:18,valid solution
453,Mat_knapsack34,56,53,2968,7,5,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:31:23,valid solution
454,Mat_knapsack34,56,53,2968,7,5,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:01:10,valid solution
455,Mat_knapsack34,56,53,2968,7,5,0,0,0,quadratic_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:17,valid solution
